id,text,timestamp,source,symbols,company_names,url,verified
1016433538835648500,Waste Management Inc. $WM Analysts See $1.02 EPS - https://t.co/acKPiEOEDK,Mon Jul 09 21:26:54 +0000 2018,bibeypost_stock,WM,Waste Management,https://www.bibeypost.com/waste-management-inc-wm-analysts-see-1-02-eps/,False
1016433707178217500,$TMO Max Pain=210.00. Maturity=07/20/2018. #maxpain #options https://t.co/yeOfHROApS https://t.co/rh0pkTjMfl,Mon Jul 09 21:27:34 +0000 2018,optioncharts,TMO,Thermo Fisher Scientific Inc.,http://maximum-pain.com/options/max-pain/TMO,False
1016434435976323100,RT @PortfolioArmor: A Portfolio For John Authers $NSP $BA $DLTR $ALGN https://t.co/PqcdXCfG4N https://t.co/kZURVcRf88,Mon Jul 09 21:30:28 +0000 2018,dpinsen,DLTR,Dollar Tree,https://seekingalpha.com/article/4185987-portfolio-john-authers,False
1016434778462212100,$MUR Murphy Oil Corporation End-Of-Day SEC Alert From our Stock News Alerts App,Mon Jul 09 21:31:50 +0000 2018,Allstocknews,MUR,Murphy Oil Corporation,,False
1016434812184391700,Will $COO break above its Super Growth Price 3.5 times the SVA adjusted book on no support from the Fair Market V… https://t.co/5yDKFVG8uC,Mon Jul 09 21:31:58 +0000 2018,SVAInsights,COO,The Cooper Companies,https://twitter.com/i/web/status/1016434812184391680,False
1016435352003907600,RT @BrandonVanZee: 🕘 #9at9 - Your 9am ET daily digest of what large &amp; mid-cap 🇺🇸 stocks are ⬆️ &amp; ⬇️ the most in the premarket.  📈 $HELE $KO…,Mon Jul 09 21:34:07 +0000 2018,drgiyanani,UDR,UDR,,False
1016435573798637600,$PSTI signs deal with big company Thermo Fisher Scentific $TMO. I don't know how this stock was missed today. https://t.co/TMzRTU0WZR,Mon Jul 09 21:34:59 +0000 2018,gobluetrader,TMO,Thermo Fisher Scientific Inc.,https://globenewswire.com/news-release/2018/07/09/1534507/0/en/Pluristem-Signs-Collaboration-Agreement-With-Thermo-Fisher-Scientific.html,False
1016435833136734200,XL Group Ltd $XL Analysts See $0.85 EPS - https://t.co/7TOnQBUY8T,Mon Jul 09 21:36:01 +0000 2018,whatsonthorold2,XL,XL Group Ltd,https://www.whatsonthorold.com/2018/07/09/xl-group-ltd-xl-analysts-see-0-85-eps-2/,False
1016436101538631700,Analysts See $0.85 EPS for XL Group Ltd $XL https://t.co/DUr1SBYn62,Mon Jul 09 21:37:05 +0000 2018,reurope_stock,XL,XL Group Ltd,https://reurope.com/2018/07/09/analysts-see-0-85-eps-for-xl-group-ltd-xl-2/,False
1016436169297588200,Analysts See $0.85 EPS for XL Group Ltd $XL - https://t.co/4cjzNn1Ltk,Mon Jul 09 21:37:21 +0000 2018,bibeypost_stock,XL,XL Group Ltd,https://www.bibeypost.com/analysts-see-0-85-eps-for-xl-group-ltd-xl-2/,False
1016436254551040000,Scan results - Fell Below 50 DMA today: $DOVA $PETS $ACAD $ORA $MLNX $COLD $PEG $INN $AES $PNM ... https://t.co/nzg6u11OwG,Mon Jul 09 21:37:42 +0000 2018,SwingTradeBot,AES,The AES Corporation,https://swingtradebot.com/events/2/equities?selected_date=2018-07-09,False
1016436530410414100,$isr offering canceled? Rumors of buyout or partnership swirling after #fda approval today. $FCRE $GNPX $CYAD $KN… https://t.co/dTXepZNFgq,Mon Jul 09 21:38:47 +0000 2018,professorzinnel,FLEX,Flex Ltd.,https://twitter.com/i/web/status/1016436530410414081,False
1016436939635986400,$isr offering canceled? Rumors of buyout or partnership swirling after #fda approval today! $FCRE $GNPX $CYAD $KN… https://t.co/UOUxQlWo8I,Mon Jul 09 21:40:25 +0000 2018,professorzinnel,FLEX,Flex Ltd.,https://twitter.com/i/web/status/1016436939635986433,False
1016437027938676700,Scan results - Shooting Star Candlestick today: $WHD $KURA $KKR $HSIC $WYNN $BMO $PRAA $NTRA $PLAY $FOE ... https://t.co/mcfGR8rSdU,Mon Jul 09 21:40:46 +0000 2018,SwingTradeBot,HSIC,Henry Schein,https://swingtradebot.com/events/15/equities?selected_date=2018-07-09,False
1016437156271796200,Scan results - Stochastic Buy Signal today: $HUYA $CMA $KEY $MCRN $EXPD $ADP $RXN $EPZM $CME $ETFC ... https://t.co/UyAtVQuBCs,Mon Jul 09 21:41:17 +0000 2018,SwingTradeBot,EXPD,Expeditors International of Washington,https://swingtradebot.com/events/24/equities?selected_date=2018-07-09,False
1016437212467089400,@br4nd1e $isr offering canceled? Rumors of buyout or partnership swirling after #fda approval today. $FCRE $GNPX… https://t.co/SqiyxIb21s,Mon Jul 09 21:41:30 +0000 2018,professorzinnel,FLEX,Flex Ltd.,https://twitter.com/i/web/status/1016437212467089413,False
1016437413529387000,Scan results - MACD Bullish Signal Line Cross today: $CCRN $VC $KEM $FULT $LOPE $CNHI $AMGP $WBC $PAH $INST ... https://t.co/AUAwHBriHs,Mon Jul 09 21:42:18 +0000 2018,SwingTradeBot,PAH,Platform Specialty Products Corporation,https://swingtradebot.com/events/64/equities?selected_date=2018-07-09,False
1016437988329312300,Revenge of the Laggards? Industrial-stock ETF $XLI +1.9% today still -9.2% from 2018 high reached in Jan.  Mon. ga… https://t.co/dM9ntxf6Dx,Mon Jul 09 21:44:35 +0000 2018,tpetruno,DLPH,Delphi Technologies PLC,https://twitter.com/i/web/status/1016437988329312257,False
1016438057229324300,Scan results - MACD Bearish Signal Line Cross today: $GCI $ATNX $RGLD $UDR $PEP $ATU $ELS $AIV $DRE $REG ... https://t.co/8Xfi5S35Gi,Mon Jul 09 21:44:52 +0000 2018,SwingTradeBot,UDR,UDR,https://swingtradebot.com/events/65/equities?selected_date=2018-07-09,False
1016438458938781700,@JamesHoward18 $isr offering (atm)canceled!Rumors of buyout or partnership swirling after #fda approval today.… https://t.co/QigHNYIOvm,Mon Jul 09 21:46:27 +0000 2018,professorzinnel,FLEX,Flex Ltd.,https://twitter.com/i/web/status/1016438458938781702,False
1016438701503733800,On our Top 50 Bearish List today: $MBI $WBS $HTBK $NINE $ANAT $LNTH $TM $SLM $SPN $FUN ... https://t.co/19w60vf4EH,Mon Jul 09 21:47:25 +0000 2018,SwingTradeBot,SLM,SLM Corporation,https://swingtradebot.com/scans/top-fifty-bearish?selected_date=2018-07-09,False
1016438704028598300,On our Top 50 Bullish List today: $IRTC $LOB $NEWA $CBZ $STKL $JOUT $ORLY $GLMD $EPM $VUZI ... https://t.co/Aqt3GDx3J0,Mon Jul 09 21:47:26 +0000 2018,SwingTradeBot,ORLY,O'Reilly Automotive,https://swingtradebot.com/scans/top-fifty-bullish?selected_date=2018-07-09,False
1016440364868292600,Short sale volume (not short interest) for $CBL on 2018-07-06 is 71%. https://t.co/ytJrLms8fg $CTT 34% $CONE 38% $TCO 30% $BXP 56%,Mon Jul 09 21:54:02 +0000 2018,shortvolumes,BXP,Boston Properties,http://shortvolumes.com/?t=CBL,False
1016441082060660700,Zacks: Analysts Anticipate Patterson Companies Inc. $PDCO Will Announce Earnings of $0.35 Per Share https://t.co/aUsce6jNY6,Mon Jul 09 21:56:53 +0000 2018,dailypoliticaln,PDCO,Patterson Companies,http://www.dailypolitical.com/?p=2191383,False
1016441405173092400,Patterson Companies Inc. $PDCO Expected to Post Earnings of $0.35 Per Share https://t.co/AP8y2bF2qT,Mon Jul 09 21:58:10 +0000 2018,ZolmaxNews,PDCO,Patterson Companies,http://zolmax.com/?p=2371433,False
1016442040014508000,$CCRN $VC $KEM $LOPE $CNHI $AMGP $WBC $PAH $INST https://t.co/Ah2NpaURua,Mon Jul 09 22:00:41 +0000 2018,ioTrader,PAH,Platform Specialty Products Corporation,,False
1016442060415660000,$PAH $SYNT $OLN $VSH $RIO $WYNN $AXP https://t.co/uSGbOlCQl4,Mon Jul 09 22:00:46 +0000 2018,ioTrader,PAH,Platform Specialty Products Corporation,,False
1016442458069262300,American Electric Power Company Inc. $AEP EPS Estimated At $0.81 - https://t.co/c3CBvwpG1D,Mon Jul 09 22:02:21 +0000 2018,whatsonthorold2,AEP,American Electric Power Company,https://www.whatsonthorold.com/2018/07/09/american-electric-power-company-inc-aep-eps-estimated-at-0-81/,False
